chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr17	150000	155000	chr17	390000	395000	498194	498242	0	0	0.6666511924	0.0000000000	0.0000000000
chr17	145000	150000	chr17	755000	760000	498193	498315	0	0	0.4529027423	0.0000000000	0.0000000000
chr17	145000	150000	chr17	1050000	1055000	498193	498374	0	0	0.5189361184	0.0000000000	0.0000000000
chr17	145000	150000	chr17	510000	515000	498193	498266	0	0	0.5360200161	0.0000000000	0.0000000000
chr17	150000	155000	chr17	990000	995000	498194	498362	0	0	0.5737629030	0.0000000000	0.0000000000
chr17	145000	150000	chr17	595000	600000	498193	498283	0	0	0.3856567968	0.0000000884	0.0000000917
chr17	155000	160000	chr17	705000	710000	498195	498305	0	0	0.4232190249	0.0000000000	0.0000000000
chr17	165000	170000	chr17	305000	310000	498197	498225	0	0	0.3478648875	0.0000000083	0.0000000095
chr17	245000	250000	chr17	700000	705000	498213	498304	0	0	0.3344756805	0.0000000040	0.0000000047
chr17	315000	320000	chr17	705000	710000	498227	498305	0	0	0.3767260817	0.0000000000	0.0000000000
chr17	410000	415000	chr17	990000	995000	498246	498362	0	0	0.6876911400	0.0000000000	0.0000000000
chr17	405000	410000	chr17	700000	705000	498245	498304	0	0	0.5334664204	0.0000000000	0.0000000000
chr17	415000	420000	chr17	555000	560000	498247	498275	0	0	0.5391863885	0.0000000000	0.0000000000
chr17	415000	420000	chr17	600000	605000	498247	498284	0	0	0.5060206525	0.0000000000	0.0000000000
chr17	410000	415000	chr17	750000	755000	498246	498314	0	0	0.3044078429	0.0000002522	0.0000002572
chr17	415000	420000	chr17	485000	490000	498247	498261	0	0	0.3119584292	0.0000912724	0.0000912806
chr17	420000	425000	chr17	495000	500000	498248	498263	0	0	0.3386541738	0.0000147444	0.0000147631
chr17	490000	495000	chr17	695000	700000	498262	498303	0	0	0.7347414548	0.0000000000	0.0000000000
chr17	490000	495000	chr17	990000	995000	498262	498362	0	0	0.5108347150	0.0000000000	0.0000000000
chr17	490000	495000	chr17	600000	605000	498262	498284	0	0	0.4293283798	0.0000000088	0.0000000100
chr17	515000	520000	chr17	550000	555000	498267	498274	0	0	0.3985136471	0.0000000050	0.0000000059
chr17	565000	570000	chr17	590000	595000	498277	498282	0	0	0.4195905133	0.0000000003	0.0000000004
chr17	600000	605000	chr17	990000	995000	498284	498362	0	0	0.4341120410	0.0000000000	0.0000000000
chr17	605000	610000	chr17	690000	695000	498285	498302	0	0	0.4487529243	0.0000000000	0.0000000000
chr17	645000	650000	chr17	990000	995000	498293	498362	0	0	0.3299845234	0.0000000067	0.0000000078
chr17	645000	650000	chr17	680000	685000	498293	498300	0	0	0.3400581770	0.0000000384	0.0000000410
chr17	710000	715000	chr17	990000	995000	498306	498362	0	0	0.5868092742	0.0000000000	0.0000000000
chr17	725000	730000	chr17	1050000	1055000	498309	498374	0	0	0.3778944537	0.0000000000	0.0000000000
chr17	790000	795000	chr17	1055000	1060000	498322	498375	0	0	0.4766703432	0.0000000000	0.0000000000
chr17	795000	800000	chr17	920000	925000	498323	498348	0	0	0.4192330111	0.0000000000	0.0000000000
chr17	800000	805000	chr17	850000	855000	498324	498334	0	0	0.3523539992	0.0000000021	0.0000000025
chr17	915000	920000	chr17	970000	975000	498347	498358	0	0	0.5573427379	0.0000000000	0.0000000000
chr17	1005000	1010000	chr17	1050000	1055000	498365	498374	0	0	0.7249333959	0.0000000000	0.0000000000
chr17	1010000	1015000	chr17	1190000	1195000	498366	498402	0	0	0.3141203490	0.0000000384	0.0000000410
chr17	1060000	1065000	chr17	1185000	1190000	498376	498401	0	0	0.5754443356	0.0000000000	0.0000000000
chr17	1070000	1075000	chr17	1100000	1105000	498378	498384	0	0	0.5715534195	0.0000000000	0.0000000000
chr17	1120000	1125000	chr17	1185000	1190000	498388	498401	0	0	0.8266051779	0.0000000000	0.0000000000
chr17	1110000	1115000	chr17	1425000	1430000	498386	498449	0	0	0.3213245443	0.0000000176	0.0000000195
chr17	1120000	1125000	chr17	1250000	1255000	498388	498414	0	0	0.5598408712	0.0000000000	0.0000000000
chr17	1120000	1125000	chr17	1330000	1335000	498388	498430	0	0	0.6000641375	0.0000000000	0.0000000000
chr17	1115000	1120000	chr17	1500000	1505000	498387	498464	0	0	0.3733278919	0.0000000000	0.0000000000
chr17	1115000	1120000	chr17	1635000	1640000	498387	498491	0	0	0.3255691795	0.0000000110	0.0000000125
chr17	1215000	1220000	chr17	1245000	1250000	498407	498413	0	0	0.6151746238	0.0000000000	0.0000000000
chr17	1265000	1270000	chr17	1635000	1640000	498417	498491	0	0	0.7514019501	0.0000000000	0.0000000000
chr17	1275000	1280000	chr17	1330000	1335000	498419	498430	0	0	0.7316593248	0.0000000000	0.0000000000
chr17	1265000	1270000	chr17	1515000	1520000	498417	498467	0	0	0.7202706686	0.0000000000	0.0000000000
chr17	1270000	1275000	chr17	1440000	1445000	498418	498452	0	0	0.3818191260	0.0000000000	0.0000000000
chr17	1355000	1360000	chr17	1510000	1515000	498435	498466	0	0	0.6052204367	0.0000000000	0.0000000000
chr17	1365000	1370000	chr17	1390000	1395000	498437	498442	0	0	0.5022318104	0.0000000000	0.0000000000
chr17	1360000	1365000	chr17	1440000	1445000	498436	498452	0	0	0.5448901394	0.0000000000	0.0000000000
chr17	1355000	1360000	chr17	1635000	1640000	498435	498491	0	0	0.3161886252	0.0000000308	0.0000000332
chr17	1480000	1485000	chr17	1640000	1645000	498460	498492	0	0	0.4756259140	0.0000000000	0.0000000000
chr17	1480000	1485000	chr17	1710000	1715000	498460	498506	0	0	0.3450286242	0.0000000012	0.0000000014
chr17	1525000	1530000	chr17	1555000	1560000	498469	498475	0	0	0.5686312625	0.0000000000	0.0000000000
chr17	1570000	1575000	chr17	1635000	1640000	498478	498491	0	0	0.8092467389	0.0000000000	0.0000000000
chr17	1570000	1575000	chr17	1710000	1715000	498478	498506	0	0	0.5819671412	0.0000000000	0.0000000000
chr17	1570000	1575000	chr17	2030000	2035000	498478	498570	0	0	0.4641342715	0.0000000000	0.0000000000
chr17	1570000	1575000	chr17	1785000	1790000	498478	498521	0	0	0.5629073793	0.0000000000	0.0000000000
chr17	1570000	1575000	chr17	1870000	1875000	498478	498538	0	0	0.5121106068	0.0000000000	0.0000000000
